"","Open","High","Love","Close","Volume","Adjusted","symbol","sGarchResult","eGarchResult","fGarchResult","iGarchResult"
"X2021.02.17.00.00.00","0","0","0","0","0","0","","0","0","0","0"
"X2021.02.17.03.00.00","0","0","0","17.995","0","0","AAL","-0.00148272130665751","0","0","0"
"X2021.02.17.03.00.00.1","0","0","0","130.405","0","0","AAPL","0.00148846944286479","0","0","0"
"X2021.02.17.03.00.00.2","0","0","0","106.37","0","0","ABBV","-0.000537716417742294","0","0","0"
"X2021.02.17.03.00.00.3","0","0","0","126.87","0","0","ABT","-0.000268213203839969","0","0","0"
"X2021.02.17.03.00.00.4","0","0","0","115.5075","0","0","AMAT","0.0101956381672273","0","0","0"
"X2021.02.17.03.00.00.5","0","0","0","90.1188","0","0","AMD","0.00552897369063033","0","0","0"
"X2021.02.17.03.00.00.6","0","0","0","34.4586","0","0","BAC","0.00709550749601169","0","0","0"
"X2021.02.17.03.00.00.7","0","0","0","75.655","0","0","BHP","0.014140434835419","0","0","0"
"X2021.02.17.03.00.00.8","0","0","0","60.525","0","0","BMY","0.00141285782670897","0","0","0"
"X2021.02.17.03.00.00.9","0","0","0","64.805","0","0","C","0.000458281768556083","0","0","0"
"X2021.02.17.03.00.00.10","0","0","0","53.2315","0","0","CMCSA","-0.00664779663614409","0","0","0"
"X2021.02.17.03.00.00.11","0","0","0","247.7185","0","0","CRM","0.00539789771929139","0","0","0"
"X2021.02.17.03.00.00.12","0","0","0","46.3142","0","0","CSCO","0","0","0","0"
"X2021.02.17.03.00.00.13","0","0","0","186.79","0","0","DIS","0.00302581171010066","0","0","0"
"X2021.02.17.03.00.00.14","0","0","0","6.9387","0","0","ET","0.00344868070913241","0","0","0"
"X2021.02.17.03.00.00.15","0","0","0","42.115","0","0","EXC","-0.000388941949664515","0","0","0"
"X2021.02.17.03.00.00.16","0","0","0","46.94","0","0","FAST","0.00171520201789751","0","0","0"
"X2021.02.17.03.00.00.17","0","0","0","272.8516","0","0","FB","0.0008354379967913","0","0","0"
"X2021.02.17.03.00.00.18","0","0","0","11.875","0","0","GE","0.003508713099135","0","0","0"
"X2021.02.17.03.00.00.19","0","0","0","201.74","0","0","HON","0","0","0","0"
"X2021.02.17.03.00.00.20","0","0","0","61.935","0","0","INTC","0.0065413743544099","0","0","0"
"X2021.02.17.03.00.00.21","0","0","0","106.33","0","0","JD","-0.000493499330507468","0","0","0"
"X2021.02.17.03.00.00.22","0","0","0","165.3","0","0","JNJ","-0.0022692240890401","0","0","0"
"X2021.02.17.03.00.00.23","0","0","0","50.29","0","0","KO","-0.00046162266110218","0","0","0"
"X2021.02.17.03.00.00.24","0","0","0","248.43","0","0","LIN","-0.00508209156596506","0","0","0"
"X2021.02.17.03.00.00.25","0","0","0","75.744","0","0","MRK","0.00104943092900666","0","0","0"
"X2021.02.17.03.00.00.26","0","0","0","75.61","0","0","MS","0","0","0","0"
"X2021.02.17.03.00.00.27","0","0","0","243.415","0","0","MSFT","0.000484450518692095","0","0","0"
"X2021.02.17.03.00.00.28","0","0","0","80.53","0","0","NEE","0.00346013253234953","0","0","0"
"X2021.02.17.03.00.00.29","0","0","0","549.68","0","0","NFLX","0.000826417436895247","0","0","0"
"X2021.02.17.03.00.00.30","0","0","0","144.09","0","0","NKE","0.00152929557680593","0","0","0"
"X2021.02.17.03.00.00.31","0","0","0","595.89","0","0","NVDA","0.0145208663066453","0","0","0"
"X2021.02.17.03.00.00.32","0","0","0","61.9744","0","0","ORCL","-0.00166823878147304","0","0","0"
"X2021.02.17.03.00.00.33","0","0","0","203.7","0","0","PDD","-0.0046130379653103","0","0","0"
"X2021.02.17.03.00.00.34","0","0","0","128.535","0","0","PG","0.000386763305645879","0","0","0"
"X2021.02.17.03.00.00.35","0","0","0","295.39","0","0","PYPL","0.0131868706312235","0","0","0"
"X2021.02.17.03.00.00.36","0","0","0","145.04","0","0","QCOM","0.00285882223323065","0","0","0"
"X2021.02.17.03.00.00.37","0","0","0","25.6","0","0","RELX","0","0","0","0"
"X2021.02.17.03.00.00.38","0","0","0","73.135","0","0","RTX","0.000207028794767658","0","0","0"
"X2021.02.17.03.00.00.39","0","0","0","104.49","0","0","SBUX","0.00347681269056217","0","0","0"
"X2021.02.17.03.00.00.40","0","0","0","6.055","0","0","SIRI","0.000118692433527667","0","0","0"
"X2021.02.17.03.00.00.41","0","0","0","121.475","0","0","TMUS","0.00777233169017505","0","0","0"
"X2021.02.17.03.00.00.42","0","0","0","794.46","0","0","TSLA","0.00960171622640596","0","0","0"
"X2021.02.17.03.00.00.43","0","0","0","137.06","0","0","TSM","0.00585528413549727","0","0","0"
"X2021.02.17.03.00.00.44","0","0","0","327.08","0","0","UNH","0.00264124572052356","0","0","0"
"X2021.02.17.03.00.00.45","0","0","0","207.73","0","0","V","0.00134376852912324","0","0","0"
"X2021.02.17.03.00.00.46","0","0","0","36.705","0","0","WFC","0.00297376630618831","0","0","0"
"X2021.02.17.03.00.00.47","0","0","0","112.47","0","0","WM","0.00228486383477358","0","0","0"
"X2021.02.17.03.00.00.48","0","0","0","146.55","0","0","WMT","-0.000341242567516937","0","0","0"
